mac,rssi,src,state,sceneId,r,g,b,c,w,dimming,date,time,day,color
d8a011b4dfff,-55,,False,0,0,143,176,0,140,100,2023-12-03,17:43:57,Sunday,darkcyan
d8a011b4dfff,-53,,True,0,0,143,176,0,140,100,2023-12-03,17:44:55,Sunday,darkcyan
d8a011b4dfff,-54,,True,0,98,255,0,0,0,100,2023-12-03,17:45:27,Sunday,lawngreen
d8a011b4dfff,-61,,True,0,98,255,0,0,0,100,2023-12-03,17:45:59,Sunday,lawngreen
d8a011b4dfff,-54,,True,0,98,255,0,0,0,100,2023-12-03,17:46:31,Sunday,lawngreen
d8a011b4dfff,-52,,True,0,98,255,0,0,0,100,2023-12-03,17:47:04,Sunday,lawngreen
d8a011b4dfff,-55,,True,0,98,255,0,0,0,100,2023-12-03,17:47:36,Sunday,lawngreen
d8a011b4dfff,-54,,True,0,98,255,0,0,0,100,2023-12-03,17:48:08,Sunday,lawngreen
d8a011b4dfff,-61,,True,0,98,255,0,0,0,100,2023-12-03,17:48:40,Sunday,lawngreen
d8a011b4dfff,-60,,True,0,98,255,0,0,0,100,2023-12-03,17:49:12,Sunday,lawngreen
d8a011b4dfff,-52,,True,0,255,0,250,0,0,100,2023-12-03,17:49:45,Sunday,magenta
d8a011b4dfff,-53,,True,0,255,0,250,0,0,100,2023-12-03,17:50:17,Sunday,magenta
d8a011b4dfff,-52,,True,0,255,0,250,0,0,100,2023-12-03,17:50:49,Sunday,magenta
d8a011b4dfff,-53,,False,0,255,0,250,0,0,100,2023-12-03,17:51:21,Sunday,magenta
d8a011b4dfff,-50,,True,0,48,0,255,0,0,100,2023-12-03,17:51:53,Sunday,blue
d8a011b4dfff,-56,,True,0,48,0,255,0,0,100,2023-12-03,17:52:25,Sunday,blue
d8a011b4dfff,-63,,True,0,48,0,255,0,0,100,2023-12-03,17:52:57,Sunday,blue
d8a011b4dfff,-54,,True,0,48,0,255,0,0,100,2023-12-03,17:53:30,Sunday,blue
d8a011b4dfff,-53,,True,0,48,0,255,0,0,100,2023-12-03,17:54:02,Sunday,blue
d8a011b4dfff,-55,,True,0,48,0,255,0,0,100,2023-12-03,17:54:34,Sunday,blue
d8a011b4dfff,-52,,True,0,48,0,255,0,0,100,2023-12-03,17:55:06,Sunday,blue
d8a011b4dfff,-55,,True,0,48,0,255,0,0,100,2023-12-03,17:55:38,Sunday,blue
d8a011b4dfff,-54,,True,0,0,255,99,0,0,100,2023-12-03,17:56:10,Sunday,springgreen
d8a011b4dfff,-55,,True,0,0,255,99,0,0,100,2023-12-03,17:56:43,Sunday,springgreen
d8a011b4dfff,-60,,True,0,0,255,99,0,0,100,2023-12-03,17:57:15,Sunday,springgreen
d8a011b4dfff,-50,,True,0,0,255,99,0,0,100,2023-12-03,17:57:47,Sunday,springgreen
d8a011b4dfff,-55,,True,0,0,255,99,0,0,100,2023-12-03,17:58:19,Sunday,springgreen
d8a011b4dfff,-53,,True,0,0,255,99,0,0,100,2023-12-03,17:58:51,Sunday,springgreen
d8a011b4dfff,-49,,True,0,80,100,0,0,140,100,2023-12-03,17:59:23,Sunday,darkolivegreen
d8a011b4dfff,-52,,True,0,80,100,0,0,140,100,2023-12-03,17:59:55,Sunday,darkolivegreen
d8a011b4dfff,-52,,True,0,80,100,0,0,140,100,2023-12-03,18:00:28,Sunday,darkolivegreen
d8a011b4dfff,-52,,True,0,80,100,0,0,140,100,2023-12-03,18:01:00,Sunday,darkolivegreen
d8a011b4dfff,-52,,False,0,80,100,0,0,140,100,2023-12-04,18:01:00,Sunday,darkolivegreen
